rank,word,ru,collo_it,collo_ru,s1_it,s1_ru,s2_it,s2_ru,s3_it,s3_ru,s4_it,s4_ru,s5_it,s5_ru
"271","donna","женщина, жена","bella donna","красивая женщина","Quella donna è mia zia.","Та женщина — моя тётя.","Le donne amano parlare.","Женщины любят поговорить.","È una donna forte.","Она сильная женщина.","","","",""
"278","famiglia","семья","grande famiglia","большая семья","La mia famiglia è unita.","Моя семья дружная.","Voglio bene alla mia famiglia.","Я люблю свою семью.","Abbiamo una grande famiglia.","У нас большая семья.","","","",""
"279","ragazzo","парень, девушка, ребёнок","bravo ragazzo","хороший парень","Quel ragazzo è molto simpatico.","Тот парень очень симпатичный.","I ragazzi giocano nel parco.","Ребята играют в парке.","Mia figlia ha un ragazzo.","У моей дочери есть парень.","","","",""
"289","notte","ночь","buona notte","спокойной ночи","Buona notte, dormi bene.","Спокойной ночи, спи хорошо.","Di notte la città è silenziosa.","Ночью город тихий.","Ho lavorato tutta la notte.","Я работал всю ночь.","","","",""
"51","essere","быть, являться","sono stanco","я устал","Io sono italiano.","Я итальянец.","Lei è molto brava.","Она очень способная.","Siamo amici.","Мы друзья.","","","",""
"212","avere","иметь, обладать","avere fame","быть голодным","Ho una macchina nuova.","У меня новая машина.","Abbiamo due gatti.","У нас две кошки.","Hai tempo per un caffè?","У тебя есть время на кофе?","","","",""
"50","fare","делать, выполнять","fare attenzione","быть внимательным","Cosa fai stasera?","Что ты делаешь сегодня вечером?","Faccio la spesa ogni mattina.","Я хожу за покупками каждое утро.","Devi fare attenzione.","Ты должен быть внимательным.","","","",""
"115","dire","говорить, сказать","dire la verità","сказать правду","Cosa dici?","Что ты говоришь?","Voglio dire una cosa.","Я хочу сказать одну вещь.","Dice sempre la verità.","Он всегда говорит правду.","","","",""
"122","andare","идти, ходить","andare a letto","ложиться спать","Vado a casa.","Я иду домой.","Andiamo al cinema stasera.","Сегодня вечером мы идём в кино.","Devo andare a letto presto.","Мне нужно рано лечь спать.","","","",""
"272","stare","стоять, находиться, оставаться","stare attenti","быть внимательными","Come stai?","Как дела?","Sto bene, grazie.","Хорошо, спасибо.","Stanno a casa oggi.","Они сегодня дома.","","","",""
"825","potere","мочь, иметь возможность","non potere","не мочь","Posso entrare?","Можно войти?","Non posso venire stasera.","Я не могу прийти сегодня вечером.","Puoi aiutarmi?","Ты можешь мне помочь?","","","",""
"1895","dovere","долженствовать, быть должным","dovere fare","быть должным сделать","Devo studiare.","Я должен учиться.","Devono partire presto.","Они должны рано уехать.","Non devi preoccuparti.","Тебе не нужно беспокоиться.","","","",""
"583","credere","верить, полагать","credere a qualcuno","верить кому-то","Credo di avere ragione.","Я думаю, что я прав.","Non ci credo.","Я этому не верю.","Credo in te.","Я верю в тебя.","","","",""
"182","vedere","видеть, смотреть, понимать","vedere chiaro","видеть ясно","Vedo un problema.","Я вижу проблему.","Ti vedo domani.","Увижу тебя завтра.","Non vedo l'ora di partire.","Мне не терпится уехать.","","","",""
"520","dare","давать, отдавать","dare un'occhiata","взглянуть","Ti do il mio numero.","Я дам тебе свой номер.","Dammi una mano, per favore.","Помоги мне, пожалуйста.","Le do un'occhiata subito.","Я сразу на это взгляну.","","","",""
"467","pensare","думать, мыслить","pensare a tutto","думать обо всём","A cosa pensi?","О чём ты думаешь?","Penso che abbia ragione.","Я думаю, что он прав.","Pensa positivo!","Думай позитивно!","","","",""
"189","parlare","говорить, разговаривать","parlare inglese","говорить по-английски","Parlo un po' d'italiano.","Я немного говорю по-итальянски.","Di cosa stai parlando?","О чём ты говоришь?","Voglio parlare con te.","Я хочу поговорить с тобой.","","","",""
"704","aspettare","ждать, ожидать","aspettare un treno","ждать поезд","Ti aspetto qui.","Я жду тебя здесь.","Aspetta un momento!","Подожди минуту!","Sto aspettando l'autobus.","Я жду автобус.","","","",""
"495","sentire","чувствовать, слышать","sentire freddo","чувствовать холод","Sento un rumore strano.","Я слышу странный шум.","Sento freddo oggi.","Мне сегодня холодно.","Ti sento appena.","Я едва тебя слышу.","","","",""
"324","venire","приходить, прибывать","venire a sapere","узнать","Vengo da te tra dieci minuti.","Я приду к тебе через десять минут.","Vieni alla festa?","Ты придёшь на вечеринку?","Da dove vieni?","Откуда ты приехал?","","","",""
"2662","volere","хотеть, желать","volere bene","сильно любить","Voglio un caffè.","Я хочу кофе.","Ti voglio bene.","Я тебя люблю.","Cosa vuoi fare?","Что ты хочешь сделать?","","","",""
"234","sapere","знать, уметь","sapere la verità","знать правду","So dov'è la stazione.","Я знаю, где вокзал.","Non lo so.","Я не знаю.","Sai nuotare?","Ты умеешь плавать?","","","",""
"1321","sembrare","казаться, представляться","sembrare stanco","казаться уставшим","Sembri stanco oggi.","Ты сегодня кажешься уставшим.","Mi sembra una buona idea.","Мне кажется, это хорошая идея.","Sembra che piova.","Похоже, идёт дождь.","","","",""
