Word Order Simple Tenses
Я получил сообщение;I got a message.
Ты обычно звонишь его брату каждый день?;Do you usually call his brother every day?
Ты не знаешь её;You don't know her+You do not know her.
У него очень хорошая работа;He has a very good job.
Ты построил этот дом?;Did you build this house?
Он не потратил те деньги;He didn't spend that money+He did not spend that money.
Она не ходит на работу;She doesn't go to work+She does not go to work.
Он получает сообщения от босса;He gets messages from his boss.
Я не поеду на такси;I won't take a taxi+I will not take a taxi.
У неё были друзья;She had friends.
Он говорил 30 минут;He talked for 30 minutes.
Я пригласил её;I invited her.
Тебе понравилось их предложение?;Did you like their offer?
Мне это не поможет;This won't help me+This will not help me.
Он обычно не уходит на работу в 9;He doesn't usually leave for work at 9+He does not usually leave for work at 9.
Мы знаем это;We know this.
Я работаю в этой компании;I work for that company.
Мы будем работать;We will work.
У тебя будут друзья;You will have friends.
Ему не нравится их предложение;He doesn't like their offer+He does not like their offer.
Он не завтракает по утрам;He doesn't have breakfast in the morning+He does not have breakfast in the morning.
У неё были друзья?;Did she have any friends?
Я работал много в офисе;I worked a lot in the office.
Он обычно уходит на работу в 9?;Does he usually leave for work at 9?
Она торгует машинами;She sells cars.
Он уходит с работы;He leaves work.
Крыша его дома выглядит красиво;The roof of his house looks nice.
Мы поможем ей;We will help her.
Она ходит в кино?;Does she go to the movies?
У неё есть друзья?;Does she have any friends?
Она не работает много;She doesn't work a lot+She does not work a lot.
Он говорил 30 минут?;Did he talk for 30 minutes?
Мы не продали старую машину;We didn't sell the old car+We did not sell the old car.
Я построил этот дом;I built this house.
Ты меня видишь?;Do you see me?
Я поеду на такси;I will take a taxi.
У неё есть друзья;She has friends.
Они знают это;They know this.
Он не знает этого;He doesn't know this+He does not know this.
Я поехал на такси;I took a taxi.
Мне не нравится их предложение;I don't like their offer+I do not like their offer.
Он отправлял тот емейл?;Did he send that email?
Он не отправлял тот емейл;He didn't send that email+He did not send that email.
Ей нравится учиться?;Does she like to study?
Она торговала машинами?;Did she sell cars?
Она пришла домой вчера вечером;She came home last night.
Они ходили в кино?;Did they go to the movies?
Мы не работаем много;We don't work a lot+We do not work a lot.
Она не получила подарок;She didn't get a present+She did not get a present.
Мы продали зелёную машину;We sold the green car.
Она не завтракала сегодня;She didn't have breakfast today+She did not have breakfast today.
Мы не работаем в этой компании;We don't work for that company+We do not work for that company.
Ты звонил его брату на прошлой неделе?;Did you call his brother last week?
У меня нет дома;I don't have a house+I do not have a house.
Она не уходит с работы рано;She doesn't leave work early+She does not leave work early.
Ты можешь починить эту машину?;Can you fix this car?
Я всегда встаю в 7;I always get up at 7.
Он не говорил 30 минут;He didn't talk for 30 minutes+He did not talk for 30 minutes.
Я не работал много на прошлой неделе;I didn't work a lot last week+I did not work a lot last week.
Он ездит на такси?;Does he take taxis?
Ты понял?;Do you get it?
У меня нет дорогой машины;I don't have an expensive car+I do not have an expensive car.
Она не ходит в кино;She doesn't go to the movies+She does not go to the movies.
Ты обычно уходишь на работу в 9?;Do you usually leave for work at 9?
У тебя есть друзья?;Do you have any friends?
Ты не сводил меня в кино;You didn't take me to the movies+You did not take me to the movies.
Ты торгуешь машинами?;Do you sell cars?
Мне нравится их предложение;I like their offer.
Я не могу починить эту машину;I can't fix this car+I cannot fix this car.
Они не работают из дома;They don't work from home+They do not work from home.
Ты знал её;You knew her.
Она работает из дома;She works from home.
Я звонил его брату на прошлой неделе;I called his brother last week.
Я не ушёл с работы;I didn't leave work+I did not leave work.
Ты пригласишь её?;Will you invite her?
Ей это помогает?;Does this help her?
Она тебя не видит;She doesn't see you+She does not see you.
Он работает в этой компании;He works for that company.
Мы работаем много;We work a lot.
Он обычно звонит его брату каждый день?;Does he usually call his brother every day?
Я не свожу тебя в кино на следующей неделе;I won't take you to the movies next week+I will not take you to the movies next week.
Ты учил английский несколько месяцев?;Did you study English for a few months?
Тебе нравится их предложение?;Do you like their offer?
Он обычно звонит его брату каждый день;He usually calls his brother every day.
Ты работал много на прошлой неделе?;Did you work a lot last week?
Он говорил 30 минут;He talked for 30 minutes.
Ему нравится их предложение?;Does he like their offer?
Он не построил этот дом;He didn't build this house+He did not build this house.
Ты её знаешь?;Do you know her?
Она печёт торты?;Does she make cakes?
Ты получил моё сообщение?;Did you get my message?
Мы не ходим в кино;We don't go to the movies+We do not go to the movies.
Мы будем работать?;Will we work?
Я помог ему;I helped him.
У неё была дорогая машина;She had an expensive car.
Он меня видит?;Does he see me?
Я могу починить эту машину;I can fix this car.
Ты не знал её;You didn't know her+You did not know her.
Мы их не приглашали;We didn't invite them+We did not invite them.
Ты получаешь сообщения?;Do you get messages?
Ты поедешь на такси?;Will you take a taxi?
У него есть дорогая машина?;Does he have an expensive car?
Они обычно работают на выходных;They usually work at weekends+They usually work on weekends.
Ей нравится учиться;She likes to study.
Я ухожу с работы в 5;I leave work at 5.
Она меня видела?;Did she see me?
Я не понимаю этого;I don't get it+I do not get it.
Он не ходил в кино;He didn't go to the movies+He did not go to the movies.
Ты ушёл с работы?;Did you leave work?
Я обычно звоню его брату каждый день;I usually call his brother every day.
Ты работаешь в этой компании?;Do you work for that company?
Она завтракает утром?;Does she have breakfast in the morning?
Мы их приглашали?;Did we invite them?
Мы ходим на работу;We go to work.
Ты испёк торт вчера?;Did you make a cake yesterday?
Я получил сообщение от босса;I got a message from my boss.
Она получает сообщения?;Does she get messages?
Я свожу тебя в кино на следующей неделе;I will take you to the movies next week.
Ты получаешь сообщения;You get messages.
Он завтракает дома;He has breakfast at home.
Я не звоню его сестре на выходных;I don't call his sister at weekends+I do not call his sister at weekends.
Она не готовила завтрак (cook breakfast);She didn't cook breakfast+She did not cook breakfast.
Она скоро начнёт? (start);Will she start soon?
Они продали все билеты? (sell tickets);Did they sell all the tickets?
Он появится на сцене (appear on stage);He will appear on stage.
Ты не часто отправляешь письма (send emails);You don't send emails often+You do not send emails often.
Она не пила холодную воду (drink cold water);She didn't drink cold water+She did not drink cold water.
Ей нужно больше практики (need practice);She needs more practice.
Она купит билеты? (buy tickets);Will she buy tickets?
Они описывают свой опыт (describe experience);They describe their experience.
Они переносят оборудование (carry equipment);They carry equipment.
Он появится завтра? (appear);Will he appear tomorrow?
Она встречается с клиентами? (meet clients);Does she meet clients?
Они поверят нашей истории? (believe a story);Will they believe our story?
Она пьёт достаточно воды? (drink water);Does she drink enough water?
Он учился всю ночь (study all night);He studied all night.
Он напишет отчёт (write a report);He will write the report.
Мы покупаем слишком много? (buy too much);Do we buy too much?
Ты платишь ежемесячно? (pay monthly);Do you pay monthly?
Она уничтожает доказательства (destroy the evidence);She destroys the evidence.
Мы доставляем посылки (deliver packages);We deliver packages.
Она запланировала поездку (plan the trip);She planned the trip.
Мне сегодня нехорошо (feel well);I don't feel well today+I do not feel well today.
Она навестит на следующей неделе? (visit next week);Will she visit next week?
Я подумал о твоём предложении (think about your offer);I thought about your offer.
Она не пробует новые виды спорта (try new sports);She doesn't try new sports+She does not try new sports.
Мы выращиваем овощи в нашем саду (grow vegetables);We grow vegetables in our garden.
Он не будет мыть посуду (wash the dishes);He won't wash the dishes+He will not wash the dishes.
Она коллекционирует монеты (collect coins);She collects coins.
Он ходит в спортзал каждый день (go to the gym);He goes to gym every day.
Они доставили посылку (deliver the package);They delivered the package.
Она забирает детей из школы (pick children from school);She picks children from school.
Он ловит автобус? (catch the bus);Does he catch the bus?
Он хочет кофе? (want coffee);Does he want coffee?
Он ответит завтра (answer tomorrow);He will answer tomorrow.
Она не будет бегать завтра (run tomorrow);She won't run tomorrow+She will not run tomorrow.
Он не поймал мяч (catch the ball);He didn't catch the ball+He did not catch the ball.
Мы зря беспокоились? (worry for nothing);Did we worry for nothing?
Я не буду работать в эти выходные (work this weekend);I won't work this weekend+I will not work this weekend.
Он не будет выглядеть удивлённым (appear surprised);He won't appear surprised+He will not appear surprised.
Он покупает продукты? (buy groceries);Does he buy groceries?
Они не откроются в воскресенье (open on Sunday);They won't open on Sunday+They will not open on Sunday.
Они готовят завтрак вместе (make breakfast);They make breakfast together.
Мы используем компьютеры на работе (use computers);We use computers at work.
Мы не будем проводить встречу (hold the meeting);We won't hold the meeting+We will not hold the meeting.
Мы покупаем овощи на рынке (buy vegetables);We buy vegetables at the market.
Они помогают друг другу? (help each other);Do they help each other?
Ты узнал песню? (recognize the song);Did you recognize the song?
Она забирает детей? (pick up children);Does she pick up children?
Она ест обед в полдень (eat lunch);She eats lunch at noon.
Мы купим билеты онлайн (get tickets online);We will get tickets online.
Ты говоришь по-итальянски? (speak Italian);Do you speak Italian?
Он не узнает ответ (know the answer);He won't know the answer+He will not know the answer.
Мы понимаем ситуацию (understand the situation);We understand the situation.
Мы будем пить позже? (drink later);Will we drink later?
Она выгуливает собаку два раза в день (walk her dog);She walks her dog twice a day.
Они найдут место получше (find a better place);They will find a better place.
У них нет домашних животных (have pets);They don't have pets+They do not have pets.
Я не увижу его завтра (see him tomorrow);I won't see him tomorrow+I will not see him tomorrow.
Она не пьёт алкоголь (drink alcohol);She doesn't drink alcohol+She does not drink alcohol.
Она сама стрижёт волосы? (cut her own hair);Does she cut her own hair?
Он чувствует себя нормально? (feel okay);Does he feel okay?
Мы будем сидеть рядом со сценой? (sit near the stage);Will we sit near the stage?
Я чувствую усталость после работы (feel tired);I feel tired after work.
Он не даст никаких обещаний (make promises);He won't make any promises+He will not make any promises.
Мы закончили проект в прошлом месяце (finish the project);We finished the project last month.
Он не может работать по воскресеньям (can't work on Sundays);He can't work on Sundays+He cannot work on Sundays.
Она пьёт молоко на завтрак (drink milk);She drinks milk for breakfast.
Он принимает лекарство? (take medicine);Does he take medicine?
Он пишет рассказы (write stories);He writes stories.
Они танцевали на вечеринке (dance at the party);They danced at the party.
Они всем расскажут (tell everyone);They will tell everyone.
Ты уничтожишь файл? (destroy the file);Will you destroy the file?
Он верит новостям (believe the news);He believes the news.
Они верят в удачу? (believe in luck);Do they believe in luck?
Мы перешли улицу (cross the street);We crossed the street.
Мы провели встречу (hold a meeting);We held a meeting.
Она не положила это туда (put it there);She didn't put it there+She did not put it there.
Мы будем играть в теннис в субботу (play tennis);We will play tennis on Saturday.
Они регулярно убираются? (clean regularly);Do they clean regularly?
Мы зря беспокоились (worry about nothing);We worried about nothing.
Она плохо себя чувствовала (feel well);She didn't feel well+She did not feel well.
Он хорошо зарабатывает? (earn well);Does he earn well?
Она продаёт одежду онлайн (sell clothes online);She sells clothes online.
Он читает новости онлайн (read the news);He reads the news online.
Она доверяла своему партнёру? (trust her partner);Did she trust her partner?
Она владеет двумя квартирами (own property);She owns two apartments.
Она купила новое платье;She bought a new dress.
Она иногда одалживает мою машину (borrow);She borrows my car sometimes.
Она знает об этом?;Does she know about this?
Ты пойдёшь на вечеринку?;Will you go to the party?
Он уйдёт рано?;Will he leave early?
Он будет знать к завтрашнему дню;He will know by tomorrow.
Он скопирует дизайн (copy the design);He will copy the design.
Она не водит быстро;She doesn't drive fast+She does not drive fast.
Мы слишком быстро согласились? (accept);Did we accept too quickly?
Они откроют новый магазин (open a store);They will open a new store.
Они поверили оправданию? (believe an excuse);Did they believe the excuse?
Я уничтожаю старые документы (destroy documents);I destroy old documents.
Она не теряла времени (waste time);She didn't waste any time+She did not waste any time.
Она платит за всё;She pays for everything.
Мы не сидели вместе;We didn't sit together+We did not sit together.
Ей это не кажется лёгким (find it easy);She doesn't find it easy+She does not find it easy.
Она описала человека? (describe);Did she describe the person?
Он помоет машину;He will wash the car.
Она открывает почту?;Does she open mail?
Мы будем плавать в бассейне?;Will we swim in the pool?
Я не пришёл рано;I didn't come early+I did not come early.
Они верят каждой истории;They believe every story.
Она говорит по-французски?;Does she speak French?
Ты слышишь шум?;Do you hear the noise?
Он поймает ранний рейс (catch a flight);He will catch an early flight.
Они не починят это бесплатно (fix for free);They won't fix it for free+They will not fix it for free.
Я не забыл твой день рождения;I didn't forget your birthday+I did not forget your birthday.
Мы не поймём до позже (understand);We won't understand until later+We will not understand until later.
Я не узнал это место (recognize);I didn't recognize the place+I did not recognize the place.
Он не будет писать сегодня вечером;He won't write tonight+He will not write tonight.
Он создаст новую команду (build a team);He will build a new team.
Он навещает свою семью?;Does he visit his family?
Она разработает стратегию (develop a strategy);She will develop a strategy.
Он закроет сделку (close a deal);He will close the deal.
Ему нравится музыка;He likes music.
Я не встаю поздно;I don't get up late+I do not get up late.
Ты пьёшь воду?;Do you drink water?
Тебе нужно больше времени;You need more time.
Она помогает детям с домашним заданием;She helps her children with homework.
Ты открываешь окно утром;You open the window in the morning.
Ты так думаешь?;Do you think so?
Она предпочитает утренние пробежки (prefer);She prefers morning runs.
Он пользуется общественным транспортом? (public transport);Does he use public transport?
Они будут в формальной одежде? (formal attire);Will they wear formal attire?
Он не ответил на звонок;He didn't answer the phone+He did not answer the phone.
Я не преподавал в прошлом году (teach);I didn't teach last year+I did not teach last year.
Мы открываемся в 9?;Do we open at 9?
Мы владели той машиной? (own);Did we own that car?
Она спросила дорогу (ask for directions);She asked for directions.
Они найдут это место?;Will they find the place?
У неё нет времени;She doesn't have time+She does not have time.
Ты зависел от этого? (depend on);Did you depend on that?
Он не ответил письмом (write back);He didn't write back+He did not write back.
Она сравнивает товары онлайн (compare);She compares products online.
Мы хорошо сыграли?;Did we play well?
Он открыл банковский счёт (bank account);He opened a bank account.
Мы доверяем нашей команде (trust);We trust our team.
Она говорит на трёх языках;She speaks three languages.
Он забудет её имя?;Will he forget her name?
Я не приду поздно;I won't come late+I will not come late.
Мы слишком много беспокоимся?;Do we worry too much?
Он напишет тебе?;Will he write to you?
Ты прочитаешь мою книгу?;Will you read my book?
Я не запомню все детали (remember details);I won't remember all the details+I will not remember all the details.
Они сдержат своё обещание? (keep a promise);Will they keep their promise?
Она старается?;Does she try hard?
Он выращивает помидоры каждое лето;He grows tomatoes every summer.
Он починил сломанный стул;He fixed the broken chair.
Я закрыл дверь за собой;I closed the door behind me.
Она подарила мне подарок;She gave me a present.
Он сделал бронирование? (make a reservation);Did he make a reservation?
Мы не покупаем дорогие вещи;We don't buy expensive things+We do not buy expensive things.
Он разрабатывает приложения (develop apps);He develops apps.
Она дала тебе книгу?;Did she give you the book?
Они сообщили мне новости;They told me the news.
Она ест овощи?;Does she eat vegetables?
Он ходит в церковь?;Does he go to church?
У нас не было домашнего животного;We didn't own a pet+We did not own a pet.
Мы не можем встретиться на этой неделе;We can't meet this week+We cannot meet this week.
Он знал о встрече?;Did he know about the meeting?
Я не могу починить эту машину;I can't fix this car+I cannot fix this car.
Мы пили кофе вместе;We drank coffee together.
Она скоро начнёт новую работу;She will start a new job soon.
Я запомню твой совет;I will remember your advice.
Мы ничего не слышим;We don't hear anything+We do not hear anything.
Я видел твоего брата вчера;I saw your brother yesterday.
Я прочитал всю книгу;I read the whole book.
Мы сдерживаем своё волнение (contain excitement);We contain our excitement.
Он появляется нечасто (appear);He doesn't appear often+He does not appear often.
Они не продолжили работу (continue);They didn't continue working+They did not continue working.
Он построил тот сарай? (build a shed);Did he build that shed?
Ей станет лучше завтра?;Will she feel better tomorrow?
Он не ловит автобусы (catch buses);He doesn't catch buses+He does not catch buses.
Я хорошо готовлю?;Do I cook well?
Они не начали рано;They didn't start early+They did not start early.
Мы следовали инструкциям (follow instructions);We followed the instructions.
Они часто туда ходят?;Do they go there often?
Они не будут ездить ночью;They won't drive at night+They will not drive at night.
Она звонит родителям каждый день;She calls her parents daily.
Ты встречаешься с друзьями по пятницам;You meet friends on Fridays.
Я пойду за покупками завтра;I will go shopping tomorrow.
Я доверяю своим друзьям;I trust my friends.
Мы принесём десерт;We will bring dessert.
Она упустила возможность? (waste an opportunity);Did she waste the opportunity?
Она не сдастся (give up);She won't give up+She will not give up.
Он не ходит к врачам;He doesn't visit doctors+He does not visit doctors.
Они чего-нибудь добились? (achieve);Did they achieve anything?
Ты думал об этом?;Did you think about it?
Он забыл о встрече?;Did he forget the meeting?
Он навещает свою бабушку;He visits his grandmother.
Мы не кладём вещи туда;We don't put things there+We do not put things there.
Я не буду собирать мусор;I won't collect garbage+I will not collect garbage.
Мы всё поняли?;Did we understand everything?
Ты подумаешь о моём предложении?;Will you think about my offer?
Она наполнила стакан;She filled the glass.
Он полетит в следующем месяце;Will he fly next month?
Они успевают на ранний поезд?;Do they catch the early train?
Мы достигаем своих целей (achieve goals);We achieve our goals.
Они забывают важные даты;They forget important dates.
Я шёл пешком в магазин;I walked to the store.
Он не забывает легко;He doesn't forget easily+He does not forget easily.
Я не полагался на удачу (depend on luck);I didn't depend on luck+I did not depend on luck.
Мы успеваем на ранний автобус;We catch the early bus.
Она выбросит еду? (waste food);Will she waste any food?
Мы играем в футбол по субботам;We play football on Saturdays.
Он уйдёт через час;He will leave in an hour.
Я ходил в кино вчера;I went to the cinema yesterday.
Он доставляет газеты;He delivers newspapers.
Она купит новый телефон;She will buy a new phone.
Он предложил свою помощь;He offered his help.
Я уничтожу эту записку (destroy);I will destroy this note.
Она сдавала тест?;Did she take the test?
Я не пойду пешком в такую погоду;I won't walk in this weather+I will not walk in this weather.
Ты находишь это интересным;You find this interesting.
Они проводят выходные дома;They spend weekends at home.
Мы тратим слишком много?;Do we spend too much?
Они не будут продолжать допоздна (continue);They won't continue late+They will not continue late.
Она не стрижёт волосы сама;She doesn't cut her own hair+She does not cut her own hair.
Им понравился концерт (enjoy);They enjoyed the concert.
Они завтракают в 7 утра;They eat breakfast at 7 am.
Тебе нравится эта песня?;Do you like this song?
Он хорошо спал?;Did he sleep well?
Он повредил ногу (injure);He injured his leg.
Она позвонила мне сегодня утром;She called me this morning.
Ты не говоришь по-японски;You don't speak Japanese+You do not speak Japanese.
Я не прочитал инструкции;I didn't read the instructions+I did not read the instructions.
Он хочет выучить китайский;He wants to learn Chinese.
Она считает свою работу интересной (find exciting);She finds her work exciting.
Она платит аренду? (pay rent);Does she pay rent?
Она тратит деньги на книги;She spends money on books.
Она не развила идею (develop);She didn't develop the idea+She did not develop the idea.
Он появился на телевидении (appear);He appeared on television.
Он заработает бонус?;Will he earn a bonus?
Они вырастили помидоры в саду;They grew tomatoes in the garden.
Они изменили свои планы;They changed their plans.
Он понял вопрос?;Did he understand the question?
Она доставила сообщение?;Did she deliver the message?
Мы примем их предложение (accept a proposal);We will accept their proposal.
Ты знаешь моего друга;You know my friend.
Она не предпочитает чай (prefer);She doesn't prefer tea+She does not prefer tea.
Ты шёл домой пешком?;Did you walk home?
Он думает о будущем;He thinks about the future.
Она пьёт зелёный чай?;Does she drink green tea?
Мы поздно пришли домой;We got home late.
Они не отдалятся (grow apart);They won't grow apart+They will not grow apart.
Они проигнорировали предупреждение (ignore);They ignored the warning.
Я забыл ключи;I forgot my keys.
Она поможет мне?;Will she help me?
Она услышала новости;She heard the news.
Ты прочитал статью?;Did you read the article?
Мы не убираемся каждый день;We don't clean every day+We do not clean every day.
Я коллекционирую марки;I collect stamps.
Он работает из дома?;Does he work from home?
Они посмотрят новости позже;They will watch the news later.
Ты очень хорошо говоришь по-английски;You speak English very well.
Она не рвёт цветы;She doesn't pick flowers+She does not pick flowers.
Они не будут говорить первыми;They won't speak first+They will not speak first.
Он часто пользуется телефоном;He uses his phone a lot.
Они носили костюмы;They wore costumes.
Мы больше там есть не будем;We won't eat there again+We will not eat there again.
Мы слишком долго колебались (hesitate);We hesitated too long.
Тебе лучше?;Do you feel better?
Она даёт советы?;Does she give advice?
Они смотрят спорт?;Do they watch sports?
Мы владеем этим зданием (own property);We own this building.
Он ушёл рано сегодня утром;He left early this morning.
Он ничего не потерял;He didn't lose anything+He did not lose anything.
Мы слишком часто звоним?;Do we call too often?
Ты одалживал это?;Did you borrow this?
Она ничего не несла;She didn't carry anything+She did not carry anything.
Она окончила учёбу в прошлом году (graduate);She graduated last year.
Она нарисовала эту картину?;Did she draw this picture?
Он убрал кухню?;Did he clean the kitchen?
Мы встретились на станции;We met at the station.
Они начали вовремя?;Did they start on time?
Я беру книги в библиотеке;I borrow books from the library.
Они никому не сказали;They didn't tell anyone+They did not tell anyone.
У них двое детей;They have two children.
Он не любит острую еду;He doesn't like spicy food+He does not like spicy food.
Она сдаст экзамен в следующем месяце;She will take the exam next month.
Я не выбирал этот цвет;I didn't choose this color+I did not choose this color.
Мы получили правильный адрес?;Did we get the right address?
Мы не получили сообщение;We didn't get the message+We did not get the message.
Они выросли вместе (grow up);They grew up together.
Он не копировал файл;He didn't copy the file+He did not copy the file.
Он ожидал большего (expect);He expected more.
Она не начнёт до понедельника;She won't start until Monday+She will not start until Monday.
Он ответит честно? (answer honestly);Will he answer honestly?
Мы устроим праздник (hold a celebration);We will hold a celebration.
Он не уйдёт без тебя;He won't leave without you+He will not leave without you.
