Я работаю каждый день;I work every day
Он не думал о работе;He didn't think+He did not think about work
Мы не подумаем об этом;We won't think+We will not think about it
Они не приходят сюда;They don't come+They do not come here
Она не пришла вчера;She didn't come+She did not come yesterday
Ребенок не придет;The child won't come+The child will not come
Это не становится реальностью;It doesn't become+It does not become reality
Он не стал лидером;He didn't become+He did not become a leader
Это не станет проблемой;It won't become+It will not become a problem
Думаешь ли ты об этом?;Do you think about it?
Думал ли он о доме?;Did he think about the house?
Подумаем ли мы об этом?;Will we think about it?
Приходят ли они сюда?;Do they come here?
Пришла ли она вчера?;Did she come yesterday?
Придет ли ребенок?;Will the child come?
Становится ли это реальным?;Does it become real?
Стал ли он главой?;Did he become head?
Станет ли это проблемой?;Will it become a problem?
Я даю ему книгу каждый раз;I give him a book every time
Он дал деньги в прошлый раз;He gave money last time
Мы дадим ответ завтра;We will give an answer tomorrow
Она показывает результат;She shows the result
Он показал новый дом;He showed the new house
Они покажут разницу;They will show the difference
Я хочу новую машину;I want a new car
Он хотел эту работу;He wanted this job
Она захочет помощь;She will want help
Я не даю ему деньги;I don't give+I do not give him money
Он не дал отчет;He didn't give+He did not give the report
Мы не дадим обещание;We won't give+We will not give a promise
Она не показывает ошибки;She doesn't show+She does not show mistakes
Он не показал дорогу;He didn't show+He did not show the way
Они не покажут результаты;They won't show+They will not show the results
Я не хочу проблем;I don't want+I do not want problems
Он не хотел эту книгу;He didn't want+He did not want this book
Она не захочет помощь;She won't want+She will not want help
Даешь ли ты ему книги?;Do you give him books?
Дал ли он деньги?;Did he give money?
Дадим ли мы ответ?;Will we give an answer?
Показывает ли она результат?;Does she show the result?
Показал ли он дом?;Did he show the house?
Покажут ли они разницу?;Will they show the difference?
Хочешь ли ты новую машину?;Do you want a new car?
Хотел ли он эту работу?;Did he want this job?
Захочет ли она помощь?;Will she want help?
Я слушаю музыку каждый день;I listen to music every day
Он слушал отчет вчера;He listened to the report yesterday
Они будут слушать совет;They will listen to the council
Мы пишем письма часто;We write letters often
Она написала книгу в прошлом году;She wrote a book last year
Компания напишет отчет;The company will write a report
Я держу это в секрете;I keep it secret
Он держал деньги в банке;He kept the money in the bank
Мы будем держать позицию;We will keep the position
Я не слушаю радио;I don't listen+I do not listen to the radio
Он не слушал совет;He didn't listen+He did not listen to the council
Они не будут слушать;They won't listen+They will not listen
Мы не пишем часто;We don't write+We do not write often
Она не написала письмо;She didn't write+She did not write a letter
Компания не напишет;The company won't write+The company will not write
Я не держу это;I don't keep+I do not keep it
Он не держал позицию;He didn't keep+He did not keep the position
Мы не будем держать обещание;We won't keep+We will not keep the promise
Слушаешь ли ты музыку?;Do you listen to music?
Слушал ли он отчет?;Did he listen to the report?
Будут ли они слушать?;Will they listen?
Пишете ли вы письма?;Do you write letters?
Написала ли она книгу?;Did she write a book?
Напишет ли компания отчет?;Will the company write a report?
Держишь ли ты секрет?;Do you keep a secret?
Держал ли он деньги?;Did he keep the money?
Будете ли вы держать позицию?;Will you keep the position?
Я ставлю книгу на стол;I put the book on the table
Он поставил машину в гараж;He put the car in the garage
Она поставит цветы в вазу;She will put flowers in the vase
Мы бежим по утрам;We run in the mornings
Он бежал в парке вчера;He ran in the park yesterday
Команда будет бежать завтра;The team will run tomorrow
Я стою у окна;I stand by the window
Он стоял там час;He stood there for an hour
Они будут стоять на площади;They will stand on the square
Я не ставлю его туда;I don't put+I do not put it there
Он не поставил машину;He didn't put+He did not put the car
Она не поставит вазу;She won't put+She will not put the vase
Мы не бежим по вечерам;We don't run+We do not run in the evenings
Он не бежал быстро;He didn't run+He did not run fast
Команда не будет бежать;The team won't run+The team will not run
Я не стою здесь;I don't stand+I do not stand here
Он не стоял долго;He didn't stand+He did not stand long
Они не будут стоять там;They won't stand+They will not stand there
Ставишь ли ты книги на полку?;Do you put books on the shelf?
Поставил ли он машину?;Did he put the car?
Поставит ли она цветы?;Will she put flowers?
Бежите ли вы по утрам?;Do you run in the mornings?
Бежал ли он вчера?;Did he run yesterday?
Будет ли команда бежать?;Will the team run?
Стоишь ли ты у двери?;Do you stand by the door?
Стоял ли он там?;Did he stand there?
Будут ли они стоять здесь?;Will they stand here?
