C15 - Congiuntivo dopo congiunzioni
Прежде чем купить дом, я подумаю (prima che, comprare, casa, pensare);Prima che compri una casa, penserò
Я делаю это, чтобы она прочитала ту самую книгу (affinché, leggere, libro, lo, fare);Lo faccio Affinché legga quel libro
Я делаю это, чтобы мы работали лучше (affinché, lavorare, meglio, lo, fare);Lo faccio Affinché lavoriamo meglio
Я делаю это, чтобы они поняли правило (affinché, capire, regola, lo, fare);Lo faccio Affinché capiscano la regola
Я делаю это, чтобы ты нашёл время для отдыха (affinché, trovare, tempo, riposo, lo, fare);Lo faccio Affinché tu trovi il tempo per il riposo
Я делаю это, чтобы она не обижалась на слова (affinché, non, prendersela, parole, lo, fare);Lo faccio Affinché non se la prenda per le parole
Я делаю это, чтобы мы не тратили много времени (affinché, non, metterci, molto, tempo, lo, fare);Lo faccio Affinché non ci mettiamo molto tempo
Мы работаем, несмотря на то что она уходит поздно (nonostante, andarsene, tardi, lavorare);Lavoriamo Nonostante se ne vada tardi
Мы работаем, несмотря на то что он обижается (nonostante, prendersela, lavorare);Lavoriamo Nonostante se la prenda
Мы работаем, несмотря на то что требуется много времени (nonostante, volerci, molto, tempo, lavorare);Lavoriamo Nonostante ci voglia molto tempo
Мы работаем, несмотря на то что они не справляются (nonostante, non, farcela, lavorare);Lavoriamo Nonostante non ce la facciano
Мы работаем, несмотря на то что та самая работа тяжёлая (nonostante, lavoro, pesante, lavorare);Lavoriamo Nonostante il lavoro sia pesante
Мы работаем, несмотря на то что он не выкручивается (nonostante, non, cavarsela, lavorare);Lavoriamo Nonostante non se la cavi
В случае если он купит новую машину, мы поедем вместе (qualora, comprare, macchina, nuovo, andare, insieme);Qualora compri una macchina nuova, andremo insieme
Я напишу тебе, в случае если она придёт завтра (qualora, venire, domani, ti, scrivere);Ti scrivo Qualora venga domani
Я напишу тебе, в случае если они найдут решение (qualora, trovare, soluzione, ti, scrivere);Ti scrivo Qualora trovino una soluzione
Я напишу тебе, в случае если мы не справимся (qualora, non, farcela, ti, scrivere);Ti scrivo Qualora non ce la facciamo
Я напишу тебе, в случае если он уйдёт (qualora, andarsene, ti, scrivere);Ti scrivo Qualora se ne vada
Я напишу тебе, в случае если потребуется больше времени (qualora, volerci, più, tempo, ti, scrivere);Ti scrivo Qualora ci voglia più tempo
Он говорит так, как если бы он покупал ту самую машину каждый день (come se, comprare, macchina, imperfetto cong., parlare);Parla Come se comprasse la macchina ogni giorno
Она говорит так, как если бы жила в том самом доме (parlare, come se, abitare, casa, imperfetto cong.);Parla come se abitasse nella casa
Он говорит так, как если бы они работали вместе всегда (come se, lavorare, insieme, sempre, imperfetto cong., parlare);Parla Come se lavorassero insieme sempre
Он говорит так, как если бы он знал правду (come se, sapere, verità, imperfetto cong., parlare);Parla Come se sapesse la verità
Он говорит так, как если бы она читала книгу всю ночь (come se, leggere, libro, tutta la notte, imperfetto cong., parlare);Parla Come se leggesse il libro tutta la notte
Он говорит так, как если бы мы были друзьями (come se, essere, amici, imperfetto cong., parlare);Parla Come se fossimo amici
Он говорит так, как если бы он выкладывался изо всех сил (come se, mettercela tutta, imperfetto cong., parlare);Parla Come se se la mettesse tutta
Он говорит так, как если бы она выкручивалась без проблем (come se, cavarsela, senza problemi, imperfetto cong., parlare);Parla Come se se la cavasse senza problemi
Он говорит так, как если бы они никогда не уходили (come se, non, andarsene, mai, imperfetto cong., parlare);Parla Come se non se ne andassero mai
Он говорит так, как если бы он обижался на каждое слово (come se, prendersela, ogni parola, imperfetto cong., parlare);Parla Come se se la prendesse per ogni parola
Он говорит так, как если бы требовалось много терпения (come se, volerci, molto, pazienza, imperfetto cong., parlare);Parla Come se ci volesse molta pazienza
Он говорит так, как если бы я тратил всё своё время (come se, metterci, tutto, tempo, imperfetto cong., parlare);Parla Come se ci mettessi tutto il mio tempo
Он говорит так, как если бы дом строился годами (come se, costruire, casa, per anni, imperfetto cong., parlare);Parla Come se la casa venisse costruita da anni
Он говорит так, как если бы мы справлялись легко (come se, farcela, facilmente, imperfetto cong., parlare);Parla Come se ce la facessimo facilmente
Прежде чем она приготовит ужин, мы купим вино (prima che, cucinare, cena, comprare, vino);Prima che cucini la cena, compreremo il vino
Без того чтобы я помогал, они не строят дом (senza che, aiutare, non, costruire, casa);Senza che io aiuti, non costruiscono la casa
Если только мы не найдём ключ, дверь не откроется (a meno che, non, trovare, chiave, porta, non aprirsi);A meno che non troviamo la chiave, la porta non si aprirà
Всё в порядке, при условии что та самая книга будет прочитана (purché, libro, leggere, andare, bene);Va bene Purché quel libro sia letto
Хотя он и обижается, он продолжает выкладываться (benché, prendersela, continuare, mettercela tutta);Benché se la prenda, continua a mettercela tutta
Я делаю это, чтобы мы выкрутились вместе (affinché, cavarsela, insieme, lo, fare);Lo faccio Affinché ce la caviamo insieme
Мы работаем, несмотря на то что та самая кухня маленькая (nonostante, cucina, piccolo, lavorare);Lavoriamo Nonostante la cucina sia piccola
Я напишу тебе, в случае если тот самый дом будет куплен (qualora, casa, comprare, ti, scrivere);Ti scrivo Qualora quella casa sia comprata
Он говорит так, как если бы ужин готовился шеф-поваром (come se, cucinare, cena, da, chef, imperfetto cong., parlare);Parla Come se la cena venisse cucinata da uno chef
Прежде чем они уйдут, мы скажем спасибо (prima che, andarsene, dire, grazie);Prima che se ne vadano, diremo grazie
Без того чтобы он читал, он не учится (senza che, leggere, non, studiare);Senza che legga, non studia
Если только та самая семья не приедет, мы поедем одни (a meno che, non, venire, famiglia, andare, soli);A meno che non venga la famiglia, andiamo da soli
Всё в порядке, при условии что требуется не слишком много времени (purché, volerci, non troppo, tempo, andare, bene);Va bene Purché non ci voglia troppo tempo
Хотя тот самый подарок и маленький, он важный (sebbene, regalo, piccolo, importante);Sebbene il regalo sia piccolo, è importante
Я делаю это, чтобы она не уходила без прощания (affinché, non, andarsene, senza, salutare, lo, fare);Lo faccio Affinché non se ne vada senza salutare
Несмотря на то что мы выкладываемся, время уходит (nonostante, mettercela tutta, tempo, andarsene);Nonostante ce la mettiamo tutta, il tempo se ne va
Я напишу тебе, в случае если тот самый проект будет закончен (qualora, progetto, finire, ti, scrivere);Ti scrivo Qualora quel progetto sia finito
Он говорит так, как если бы он обиделся на всю семью (come se, prendersela, tutta, famiglia, imperfetto cong., parlare);Parla Come se se la prendesse con tutta la famiglia
Прежде чем мы начнём, давайте выпьем кофе (prima che, iniziare, bere, caffè);Prima che iniziamo, beviamo un caffè
Без того чтобы она знала адрес, она не найдёт дом (senza che, sapere, indirizzo, non trovare, casa);Senza che sappia l'indirizzo, non troverà la casa
Если только ты не выложишься, ты не справишься (a meno che, non, mettercela tutta, non, farcela);A meno che non te la metta tutta, non ce la farai
Всё в порядке, при условии что выкручиваешься сам (purché, cavarsela, da solo, andare, bene);Va bene Purché te la cavi da solo
Хотя та самая история и длинная, она интересная (benché, storia, lungo, interessante);Benché la storia sia lunga, è interessante
Я делаю это, чтобы тот самый ужин был готов вовремя (affinché, cena, pronto, in tempo, lo, fare);Lo faccio Affinché quella cena sia pronta in tempo
Мы работаем, несмотря на то что тот самый фильм начинается поздно (nonostante, film, iniziare, tardi, lavorare);Lavoriamo Nonostante il film inizi tardi
Я напишу тебе, в случае если та самая проблема будет решена (qualora, problema, risolvere, ti, scrivere);Ti scrivo Qualora quel problema sia risolto
Он говорит так, как если бы время не тратилось зря (come se, tempo, non sprecare, imperfetto cong., parlare);Parla Come se il tempo non venisse sprecato
